FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.499,POINT (48.972527882 20.479667951),cesta III. triedy,3250,M669.01,Uspokojivý,20.4796679510,48.9725278820,498.995999,dosková,prefabrikovaný železobetón,46,111,343,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,998849,6,0,0
bridges_dc.500,POINT (48.971648985 20.477464517),cesta III. triedy,3250,M7358.01,Veľmi zlý,20.4774645170,48.9716489850,497.769000,dosková,monolitický železobetón,24,29,114,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,998849,196,0,1
bridges_dc.501,POINT (48.917524741 20.626388169),cesta III. triedy,3253,M5679.01,Dobrý,20.6263881690,48.9175247410,426.472999,trámová,monolitický železobetón,10,14,63,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219267,220,0,1
bridges_dc.502,POINT (48.909788061 20.872880475),cesta III. triedy,3255,M5560.01,Uspokojivý,20.8728804750,48.9097880610,378.893750,trámová,prefabrikovaný železobetón,36,89,264,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219363,9,0,0
bridges_dc.503,POINT (48.898889957 20.868521351),cesta III. triedy,3255,M150.01,Uspokojivý,20.8685213510,48.8988899570,397.601500,dosková,monolitický železobetón,26,31,168,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219367,239,0,1
bridges_dc.504,POINT (48.896173553 20.865303666),cesta III. triedy,3255,M7064.01,Veľmi zlý,20.8653036660,48.8961735530,407.839999,dosková,monolitický železobetón,11,33,169,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,1135847,15,0,2
bridges_dc.505,POINT (48.892283631 20.861363773),cesta III. triedy,3255,M4922.01,Zlý,20.8613637730,48.8922836310,412.718500,dosková,monolitický železobetón,14,40,210,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219370,409,0,2
bridges_dc.506,POINT (48.878472559 20.843942491),cesta III. triedy,3255,M6615.01,Veľmi dobrý,20.8439424910,48.8784725590,444.665500,klenbová,kameň,20,40,280,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,1315885,5,0,5
bridges_dc.507,POINT (48.940944154 20.824410814),cesta III. triedy,3257,M967.01,Zlý,20.8244108140,48.9409441540,382.619749,dosková,prefabrikovaný železobetón,39,93,420,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,242510,156,0,0
bridges_dc.508,POINT (48.953319924 20.841058292),cesta III. triedy,3257,M2307.01,Uspokojivý,20.8410582920,48.9533199240,428.997499,dosková,monolitický železobetón,26,40,238,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,5033,593,0,2
bridges_dc.509,POINT (48.958924771 20.843639722),cesta III. triedy,3257,M7597.01,Zlý,20.8436397220,48.9589247710,451.393500,dosková,monolitický železobetón,37,130,384,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,1313450,50,0,2
bridges_dc.510,POINT (48.960417579 20.842364995),cesta III. triedy,3257,M1201.01,Uspokojivý,20.8423649950,48.9604175790,455.842999,dosková,prefabrikovaný železobetón,26,53,344,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,1313450,233,0,3
bridges_dc.511,POINT (48.960417579 20.842364995),cesta III. triedy,3257,M1201.01,Uspokojivý,20.8423649950,48.9604175790,455.842999,dosková,prefabrikovaný železobetón,26,53,344,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219440,0,0,3
bridges_dc.512,POINT (48.964453795 20.820985469),cesta III. triedy,3259,M4951.01,Dobrý,20.8209854690,48.9644537950,437.840249,dosková,prefabrikovaný železobetón,39,92,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219445,4,0,2
bridges_dc.513,POINT (48.938856577 20.802970901),cesta III. triedy,3260,M2380.01,Dobrý,20.8029709010,48.9388565770,381.622749,rámová,monolitický železobetón,20,39,140,porovnávací výpočet,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219504,305,0,1
bridges_dc.514,POINT (48.980847918 20.791696929),cesta III. triedy,3261,M4314.01,Veľmi zlý,20.7916969290,48.9808479180,418.884250,dosková,monolitický železobetón,20,32,168,odhadom,Vodný tok,KE SK,SC KSK - SNV,Spišská Nová Ves,219461,8,0,1
bridges_dc.515,POINT (48.933057728 20.916788866),cesta III. triedy,3270,M5262.01,Veľmi zlý,20.9167888660,48.9330577280,382.548999,trámová,prefabrikovaný predpätý betón,24,54,122,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291805,418,0,1
bridges_dc.516,POINT (48.941890952 20.910975623),cesta III. triedy,3270,M5012.01,Dobrý,20.9109756230,48.9418909520,427.244250,dosková,prefabrikovaný železobetón,50,125,420,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291805,1,0,3
bridges_dc.517,POINT (48.942358833 20.910386057),cesta III. triedy,3270,M1653.01,Veľmi zlý,20.9103860570,48.9423588330,429.297500,dosková,prefabrikovaný železobetón,50,130,420,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291806,59,0,3
bridges_dc.518,POINT (48.893102488 21.018328654),cesta III. triedy,3271,M5345.01,Uspokojivý,21.0183286540,48.8931024880,331.615500,dosková,monolitický železobetón,26,31,136,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,5494,44,0,0
bridges_dc.519,POINT (48.868821572 20.962027928),cesta III. triedy,3272,M4444.01,Dobrý,20.9620279280,48.8688215720,340.650500,trámová,prefabrikovaný predpätý betón,30,62,123,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,303364,8,0,0
bridges_dc.520,POINT (48.874654896 20.950263031),cesta III. triedy,3272,M1438.01,Veľmi zlý,20.9502630310,48.8746548960,381.619250,dosková,monolitický železobetón,20,25,140,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291773,10,0,1
bridges_dc.521,POINT (48.848681353 20.932527264),cesta III. triedy,3273,M6688.01,Veľmi zlý,20.9325272640,48.8486813530,358.506999,dosková,monolitický železobetón,29,72,214,odhadom,"Vodný tok,  Železnica",KE SK,SC KSK - SNV,Gelnica,310970,5,0,0
bridges_dc.522,POINT (48.858755815 20.909870893),cesta III. triedy,3273,M7424.01,Uspokojivý,20.9098708930,48.8587558150,453.892000,dosková,monolitický železobetón,15,48,252,projektovaná,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291768,598,0,2
bridges_dc.523,POINT (48.797920309 20.607773073),cesta III. triedy,3276,M3155.01,Zlý,20.6077730730,48.7979203090,599.544999,dosková,prefabrikovaný železobetón,40,88,301,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291839,4,5,5
bridges_dc.524,POINT (48.787229729 20.598925204),cesta III. triedy,3276,M6349.01,Uspokojivý,20.5989252040,48.7872297290,629.649500,dosková,prefabrikovaný železobetón,50,117,419,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291839,6,6,6
bridges_dc.525,POINT (48.847758566 20.61184467),cesta III. triedy,3277,M3306.01,Veľmi zlý,20.6118446700,48.8477585660,545.536250,dosková,prefabrikovaný predpätý betón,28,60,308,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,4789,9,0,0
bridges_dc.526,POINT (48.853634326 20.614222772),cesta III. triedy,3277,M5022.01,Veľmi zlý,20.6142227720,48.8536343260,597.044750,dosková,monolitický železobetón,26,52,280,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291743,466,0,0
bridges_dc.527,POINT (48.861799059 20.626579373),cesta III. triedy,3277,M6039.01,Zlý,20.6265793730,48.8617990590,731.194749,dosková,monolitický železobetón,26,40,266,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291743,1,2,2
bridges_dc.528,POINT (48.838294144 20.618450337),cesta III. triedy,3279,M3660.01,Uspokojivý,20.6184503370,48.8382941440,521.133000,dosková,monolitický železobetón,26,53,178,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291841,134,0,0
bridges_dc.529,POINT (48.813171685 20.574186893),cesta III. triedy,3279,M6908.01,Zlý,20.5741868930,48.8131716850,581.989000,trámová,prefabrikovaný železobetón,36,81,421,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291841,4,0,5
bridges_dc.530,POINT (48.914543105 20.952865407),cesta III. triedy,3280,M1910.01,Zlý,20.9528654070,48.9145431050,359.679749,dosková,prefabrikovaný predpätý betón,36,47,144,odhadom,Železnica,KE SK,SC KSK - SNV,Gelnica,303367,120,0,0
bridges_dc.531,POINT (48.845476561 21.011207485),cesta III. triedy,3281,M772.01,Uspokojivý,21.0112074850,48.8454765610,394.542000,trámová,prefabrikovaný predpätý betón,26,69,293,podľa tabuliek,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291878,220,0,0
bridges_dc.532,POINT (48.821814825 20.988266639),cesta III. triedy,3281,M5337.01,Dobrý,20.9882666390,48.8218148250,464.081500,trámová,oceľ -  plnostenná,16,34,119,odhadom,Vodný tok,KE SK,SC KSK - SNV,Gelnica,291882,8,0,3
bridges_dc.533,POINT (48.800733196 21.476289899),cesta III. triedy,3290,M6045.01,Zlý,21.4762898990,48.8007331960,371.642000,dosková,prefabrikovaný železobetón,26,47,347,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6091,62,0,0
bridges_dc.534,POINT (48.809793948 21.459429974),cesta III. triedy,3290,M6567.01,Veľmi zlý,21.4594299740,48.8097939480,359.326499,dosková,monolitický železobetón,26,46,294,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315138,12,0,2
bridges_dc.535,POINT (48.817649462 21.446979301),cesta III. triedy,3290,M4799.01,Veľmi zlý,21.4469793010,48.8176494620,375.142749,dosková,monolitický železobetón,26,42,316,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315136,830,0,3
bridges_dc.536,POINT (48.824592498 21.419570185),cesta III. triedy,3290,M1731.01,Zlý,21.4195701850,48.8245924980,309.584000,dosková,prefabrikovaný železobetón,50,97,390,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452539,152,0,5
bridges_dc.537,POINT (48.824592498 21.419570185),cesta III. triedy,3290,M1731.01,Zlý,21.4195701850,48.8245924980,309.584000,dosková,prefabrikovaný železobetón,50,97,390,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452540,0,0,5
bridges_dc.538,POINT (48.82547887 21.415585011),cesta III. triedy,3290,M1360.01,Dobrý,21.4155850110,48.8254788700,305.787500,trámová,monolitický železobetón,14,73,140,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452541,264,0,6
bridges_dc.539,POINT (48.793850264 21.467889019),cesta III. triedy,3293,M894.01,Zlý,21.4678890190,48.7938502640,344.511249,trámová,oceľ -  plnostenná,10,17,182,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452554,33,0,0
bridges_dc.540,POINT (48.820308976 21.423791709),cesta III. triedy,3295,M7806.01,Zlý,21.4237917090,48.8203089760,323.476500,klenbová,kameň,10,20,98,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6102,386,0,0
bridges_dc.541,POINT (48.814008384 21.425515906),cesta III. triedy,3295,M3906.01,Zlý,21.4255159060,48.8140083840,322.771999,dosková,monolitický železobetón,26,42,316,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6102,1,0,1
bridges_dc.542,POINT (48.803670217 21.43218081),cesta III. triedy,3295,M5200.01,Dobrý,21.4321808100,48.8036702170,302.157250,dosková,prefabrikovaný železobetón,31,89,355,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315145,31,0,2
bridges_dc.543,POINT (48.782834738 21.430787154),cesta III. triedy,3295,M66.01,Zlý,21.4307871540,48.7828347380,270.091499,dosková,prefabrikovaný železobetón,43,74,328,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452585,32,0,4
bridges_dc.544,POINT (48.753710988 21.432210125),cesta III. triedy,3295,M3918.01,Zlý,21.4322101250,48.7537109880,242.864499,dosková,prefabrikovaný železobetón,51,110,376,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315151,487,0,8
bridges_dc.545,POINT (48.750454836 21.434423107),cesta III. triedy,3295,M2542.01,Veľmi zlý,21.4344231070,48.7504548360,249.635500,dosková,monolitický železobetón,9,22,154,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315151,893,0,8
bridges_dc.546,POINT (48.586704561 20.85319567),cesta III. triedy,3299,M1097.01,Uspokojivý,20.8531956700,48.5867045610,194.478749,dosková,prefabrikovaný predpätý betón,20,60,162,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451257,37,0,1
bridges_dc.547,POINT (48.56604 20.8455),cesta III. triedy,3300,M1627.01,,20.8455000000,48.5660400000,169.980000,,,0,0,0,,,KE SK,SC KSK - KS,Košice - okolie,1305893,553,0,1
bridges_dc.548,POINT (48.579924543 20.887345459),cesta III. triedy,3300,M3469.01,Zlý,20.8873454590,48.5799245430,174.512499,trámová,monolitický železobetón,6,11,42,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451273,169,0,4
bridges_dc.549,POINT (48.581481961 20.887894895),cesta III. triedy,3300,M2865.01,Uspokojivý,20.8878948950,48.5814819610,174.611499,dosková,monolitický železobetón,13,31,160,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451273,334,0,5
bridges_dc.550,POINT (48.569226813 20.857662416),cesta III. triedy,3301,M5691.01,Uspokojivý,20.8576624160,48.5692268130,173.232250,trámová,prefabrikovaný predpätý betón,31,88,161,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451256,94,0,1
bridges_dc.551,POINT (48.597732754 20.87826626),cesta III. triedy,3302,M7350.01,Dobrý,20.8782662600,48.5977327540,177.812749,dosková,prefabrikovaný železobetón,32,76,387,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451264,6,0,0
bridges_dc.552,POINT (48.593719968 20.894112133),cesta III. triedy,3302,M1439.01,Veľmi zlý,20.8941121330,48.5937199680,173.787249,trámová,prefabrikovaný predpätý betón,24,50,100,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,484943,914,0,1
bridges_dc.553,POINT (48.585079238 20.915415533),cesta III. triedy,3302,M3361.01,Veľmi zlý,20.9154155330,48.5850792380,189.649999,klenbová,kameň,10,20,98,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6413,1,0,3
bridges_dc.554,POINT (48.555864598 20.96670191),cesta III. triedy,3302,M6977.01,Uspokojivý,20.9667019100,48.5558645980,190.181500,klenbová,kameň,10,19,98,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451277,22,0,8
bridges_dc.555,POINT (48.541334994 21.039277736),cesta III. triedy,3302,M4885.01,Uspokojivý,21.0392777360,48.5413349940,197.498999,dosková,monolitický železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5237,7,0,9
bridges_dc.556,POINT (48.538645226 21.059873099),cesta III. triedy,3302,M1645.01,Zlý,21.0598730990,48.5386452260,194.111499,dosková,prefabrikovaný železobetón,35,90,362,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451480,1,0,11
bridges_dc.557,POINT (48.533637104 21.089756399),cesta III. triedy,3302,M1010.01,Zlý,21.0897563990,48.5336371040,204.101999,dosková,monolitický železobetón,22,31,234,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5240,804,0,14
bridges_dc.558,POINT (48.531585733 21.105936647),cesta III. triedy,3302,M2126.01,Zlý,21.1059366470,48.5315857330,199.770000,dosková,monolitický železobetón,22,31,324,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5240,2,0,15
bridges_dc.559,POINT (48.531773094 21.129379756),cesta III. triedy,3302,M219.01,Zlý,21.1293797560,48.5317730940,206.669999,dosková,monolitický železobetón,26,40,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451397,8,0,17
bridges_dc.560,POINT (48.534644032 21.172390566),cesta III. triedy,3302,M2473.01,Zlý,21.1723905660,48.5346440320,208.659750,dosková,prefabrikovaný železobetón,39,92,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5236,274,0,20
bridges_dc.561,POINT (48.628346896 20.855433046),cesta III. triedy,3306,M7406.01,Uspokojivý,20.8554330460,48.6283468960,270.384999,dosková,monolitický železobetón,22,31,234,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452372,14,0,4
bridges_dc.562,POINT (48.634035603 20.850337256),cesta III. triedy,3306,M1716.01,Uspokojivý,20.8503372560,48.6340356030,301.665250,dosková,monolitický železobetón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315061,230,0,5
bridges_dc.563,POINT (48.64164215 20.848633151),cesta III. triedy,3306,M4612.01,Zlý,20.8486331510,48.6416421500,389.112500,dosková,prefabrikovaný železobetón,33,75,382,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315061,1,0,5
bridges_dc.564,POINT (48.644175115 20.847222699),cesta III. triedy,3306,M3394.01,Uspokojivý,20.8472226990,48.6441751150,409.399000,dosková,monolitický železobetón,32,80,196,projektovaná,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315061,1,0,6
bridges_dc.565,POINT (48.649480473 20.846342468),cesta III. triedy,3306,M6513.01,Zlý,20.8463424680,48.6494804730,462.937000,dosková,prefabrikovaný železobetón,40,104,336,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315061,2,0,6
bridges_dc.566,POINT (48.660182771 20.844566213),cesta III. triedy,3306,M1126.01,Uspokojivý,20.8445662130,48.6601827710,570.937999,rámová,prefabrikovaný železobetón,40,71,336,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315061,3,0,8
bridges_dc.567,POINT (48.587895309 20.991008695),cesta III. triedy,3307,M683.01,Uspokojivý,20.9910086950,48.5878953090,194.835749,dosková,monolitický železobetón,34,62,224,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1129053,14,0,2
bridges_dc.568,POINT (48.57797315 20.977811695),cesta III. triedy,3307,M6947.01,Uspokojivý,20.9778116950,48.5779731500,190.072249,dosková,prefabrikovaný predpätý betón,26,75,189,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,4960,830,0,3
bridges_dc.569,POINT (48.562066716 20.960200427),cesta III. triedy,3307,M4280.01,Zlý,20.9602004270,48.5620667160,181.305500,dosková,monolitický železobetón,15,29,105,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451285,33,0,6
bridges_dc.570,POINT (48.581888716 20.938904093),cesta III. triedy,3308,M4153.01,Bezchybný,20.9389040930,48.5818887160,181.104500,dosková,monolitický železobetón,18,37,224,odhadom,Záplavové územie,KE SK,SC KSK - KS,Košice - okolie,452714,152,0,3
bridges_dc.571,POINT (48.582098981 20.93542196),cesta III. triedy,3308,M366.01,Veľmi zlý,20.9354219600,48.5820989810,182.678499,trámová,prefabrikovaný predpätý betón,24,50,97,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452714,405,0,4
bridges_dc.572,POINT (48.589290267 21.032562194),cesta III. triedy,3310,M2415.01,Zlý,21.0325621940,48.5892902670,194.191000,trámová,prefabrikovaný železobetón,34,93,417,podľa tabuliek,Kanál,KE SK,SC KSK - KS,Košice - okolie,451289,444,0,0
bridges_dc.573,POINT (48.579523798 21.049571948),cesta III. triedy,3310,M3219.01,Veľmi zlý,21.0495719480,48.5795237980,195.466000,trámová,prefabrikovaný predpätý betón,"12,5",32,78,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1305883,10,0,2
bridges_dc.574,POINT (48.557611441 21.076614424),cesta III. triedy,3310,M1001.01,Zlý,21.0766144240,48.5576114410,194.308250,dosková,prefabrikovaný železobetón,25,59,238,podľa tabuliek,Kanál,KE SK,SC KSK - KS,Košice - okolie,5242,930,0,5
bridges_dc.575,POINT (48.554847298 21.081101051),cesta III. triedy,3310,M5017.01,Zlý,21.0811010510,48.5548472980,196.020999,trámová,prefabrikovaný železobetón,34,93,417,podľa tabuliek,Kanál,KE SK,SC KSK - KS,Košice - okolie,1305882,439,0,6
bridges_dc.576,POINT (48.63610693 21.077317079),cesta III. triedy,3313,M1475.01,Zlý,21.0773170790,48.6361069300,228.914749,dosková,monolitický železobetón,26,31,160,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451423,2,0,4
bridges_dc.577,POINT (48.643082901 21.067829561),cesta III. triedy,3313,M5234.01,Uspokojivý,21.0678295610,48.6430829010,246.202499,dosková,monolitický železobetón,22,31,224,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1307443,13,0,5
bridges_dc.578,POINT (48.560312999 21.178830518),cesta III. triedy,3315,M6366.01,Veľmi zlý,21.1788305180,48.5603129990,201.153500,dosková,prefabrikovaný železobetón,49,117,413,podľa tabuliek,Kanál,KE SK,SC KSK - KS,Košice - okolie,452344,1,0,3
bridges_dc.579,POINT (48.541379203 21.186042227),cesta III. triedy,3315,M7122.01,Uspokojivý,21.1860422270,48.5413792030,200.032000,dosková,monolitický železobetón,14,31,107,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452345,1,0,6
bridges_dc.580,POINT (48.612 21.24135),cesta III. triedy,3318,M9492.01,Veľmi dobrý,21.2413500000,48.6120000000,218.000000,,prefabrikovaný predpätý betón,32,80,196,projektovaná,,KE SK,SC KSK - KS,Košice - okolie,5273,708,0,0
bridges_dc.581,POINT (48.609046628 21.229399778),cesta III. triedy,3318,M4657.01,Zlý,21.2293997780,48.6090466280,204.684999,trámová,prefabrikovaný predpätý betón,24,55,142,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,451428,7,0,1
bridges_dc.582,POINT (48.724795956 21.14495366),cesta III. triedy,3319,M2055.01,Uspokojivý,21.1449536600,48.7247959560,337.133000,dosková,monolitický železobetón,26,57,420,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5383,1,0,0
bridges_dc.583,POINT (48.724756663 21.144731799),cesta III. triedy,3319,M1021.01,Uspokojivý,21.1447317990,48.7247566630,338.062000,dosková,monolitický železobetón,26,61,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5383,17,0,0
bridges_dc.584,POINT (48.729337677 21.103741381),cesta III. triedy,3319,M7730.01,Zlý,21.1037413810,48.7293376770,482.934500,dosková,prefabrikovaný predpätý betón,26,78,308,podľa tabuliek,Miestna komunikácia,KE SK,SC KSK - KS,Košice - okolie,452395,77,0,3
bridges_dc.585,POINT (48.726358108 21.06769497),cesta III. triedy,3319,M2296.01,Uspokojivý,21.0676949700,48.7263581080,442.820999,dosková,monolitický železobetón,26,43,378,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452400,30,0,6
bridges_dc.586,POINT (48.741783424 21.020140886),cesta III. triedy,3319,M4073.01,Uspokojivý,21.0201408860,48.7417834240,541.816500,dosková,monolitický železobetón,26,42,316,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452401,12,0,11
bridges_dc.587,POINT (48.747928479 21.003379825),cesta III. triedy,3319,M6711.01,Uspokojivý,21.0033798250,48.7479284790,584.807000,dosková,monolitický železobetón,26,40,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452404,48,0,12
bridges_dc.588,POINT (48.754621928 21.00413099),cesta III. triedy,3319,M6850.01,Uspokojivý,21.0041309900,48.7546219280,666.675000,dosková,monolitický železobetón,26,40,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1307454,62,0,13
bridges_dc.589,POINT (48.704243306 21.345872669),cesta III. triedy,3321,M1019.01,Veľmi zlý,21.3458726690,48.7042433060,198.260999,klenbová,kameň,7,15,84,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452701,8,0,0
bridges_dc.590,POINT (48.703602 21.412776637),cesta III. triedy,3322,M4755.01,Uspokojivý,21.4127766370,48.7036020000,221.187000,dosková,monolitický železobetón,21,32,280,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6130,241,0,0
bridges_dc.591,POINT (48.676334781 21.406518683),cesta III. triedy,3322,M5114.01,Zlý,21.4065186830,48.6763347810,207.832500,klenbová,kameň,13,42,224,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,6127,579,0,3
bridges_dc.592,POINT (48.736792332 21.326249713),cesta III. triedy,3324,M380.01,Veľmi zlý,21.3262497130,48.7367923320,203.907999,dosková,monolitický železobetón,26,40,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1068576,632,0,0
bridges_dc.593,POINT (48.74087 21.34563),cesta III. triedy,3325,M9691.01,Bezchybný,21.3456300000,48.7408700000,,dosková,monolitický predpätý betón,"42,7","196,7","314,3",statický výpočet podľa TP 02/2016,Cestná komunikácia,KE SK,SC KSK - KS,Košice - okolie,1305843,747,0,0
bridges_dc.594,POINT (48.757330887 21.341492608),cesta III. triedy,3325,M5706.01,Uspokojivý,21.3414926080,48.7573308870,203.562000,trámová,oceľ -  plnostenná,8,20,112,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315117,221,0,2
bridges_dc.595,POINT (48.778834823 21.330723475),cesta III. triedy,3325,M1773.01,Veľmi zlý,21.3307234750,48.7788348230,207.937250,dosková,monolitický železobetón,24,30,189,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5451,365,0,5
bridges_dc.596,POINT (48.802875936 21.328613805),cesta III. triedy,3325,M1636.01,Zlý,21.3286138050,48.8028759360,207.735499,dosková,monolitický železobetón,26,40,350,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452473,189,0,8
bridges_dc.597,POINT (48.812242989 21.327060328),cesta III. triedy,3325,M1330.01,Zlý,21.3270603280,48.8122429890,214.085500,trámová,oceľ -  plnostenná,50,100,420,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,452475,874,0,9
bridges_dc.598,POINT (48.813997977 21.325406184),cesta III. triedy,3325,M2138.01,Zlý,21.3254061840,48.8139979770,211.631250,klenbová,monolitický prostý betón,14,21,112,podľa tabuliek,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,5455,6,0,9
bridges_dc.599,POINT (48.793951231 21.35223188),cesta III. triedy,3326,M5199.01,Veľmi zlý,21.3522318800,48.7939512310,240.044999,dosková,monolitický železobetón,20,45,280,odhadom,Vodný tok,KE SK,SC KSK - KS,Košice - okolie,1315108,214,0,2
